Protein.IDs,LFQ.intensity.01.51.48.N,LFQ.intensity.02.2870.17.T,LFQ.intensity.03.613.19.T,LFQ.intensity.04.91.19.N,LFQ.intensity.05.1200.18.N,LFQ.intensity.06.34.20.T,LFQ.intensity.07.306.19.T,LFQ.intensity.08.2283.18.T,LFQ.intensity.10.885.17.T,LFQ.intensity.11.51.18.T,LFQ.intensity.12.1315.18.T,LFQ.intensity.13.1219.17.T,LFQ.intensity.14.1301.19.N,LFQ.intensity.15.1219.17.N,LFQ.intensity.16.2286.19.T,LFQ.intensity.17.2097.17.T,LFQ.intensity.18.1301.19.T,LFQ.intensity.19.2870.17.N,LFQ.intensity.20.2097.17.N,LFQ.intensity.21.613.19.N,LFQ.intensity.22.1200.18.T,LFQ.intensity.23.1512.18.T,LFQ.intensity.24.885.17.N,LFQ.intensity.25.2286.19.N,LFQ.intensity.26.91.19.T,LFQ.intensity.27.1315.18.N,LFQ.intensity.28.2283.18.N
sp|A0AV96-2|RBM47_HUMAN;sp|A0AV96|RBM47_HUMAN,NA,NA,339980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861600,NA,NA,NA,NA,NA,NA,NA,681240,NA,NA
sp|A0AVT1|UBA6_HUMAN;sp|A0AVT1-2|UBA6_HUMAN;sp|A0AVT1-4|UBA6_HUMAN;sp|A0AVT1-3|UBA6_HUMAN,NA,1436500,1525000,849060,NA,NA,1481900,1032800,1518800,1025700,1794400,1117700,NA,1241800,869750,1181100,1879200,1095100,NA,979810,1312700,1090900,1096800,1587300,665720,1282500,678250
sp|A0FGR8-2|ESYT2_HUMAN;sp|A0FGR8|ESYT2_HUMAN;sp|A0FGR8-5|ESYT2_HUMAN;sp|A0FGR8-4|ESYT2_HUMAN,1932000,1776200,3140200,1995600,1621600,2459900,1894300,2645800,3333300,3930200,2293600,1107600,1736300,NA,867240,1825500,4101200,2022600,1236200,NA,3406600,3487000,1648900,NA,4640500,1755300,1981900
sp|A0FGR8-6|ESYT2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A0MZ66-8|SHOT1_HUMAN;sp|A0MZ66-4|SHOT1_HUMAN;sp|A0MZ66-5|SHOT1_HUMAN;sp|A0MZ66-6|SHOT1_HUMAN;sp|A0MZ66|SHOT1_HUMAN;sp|A0MZ66-3|SHOT1_HUMAN;sp|A0MZ66-2|SHOT1_HUMAN;sp|A0MZ66-7|SHOT1_HUMAN,NA,NA,NA,NA,NA,NA,1391500,NA,NA,875880,NA,1232200,NA,943070,1377400,1173200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A1L0T0|HACL2_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A1X283|SPD2B_HUMAN;sp|Q5TCZ1-3|SPD2A_HUMAN;sp|Q5TCZ1|SPD2A_HUMAN,NA,991400,723270,NA,NA,1291600,NA,499180,NA,699760,2188500,1960200,NA,NA,NA,1712200,988050,NA,NA,NA,1363400,726790,NA,715540,642750,NA,NA
sp|A2RRP1-2|NBAS_HUMAN;sp|A2RRP1|NBAS_HUMAN,NA,NA,NA,NA,NA,NA,172460,NA,NA,NA,217170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A4D1P6|WDR91_HUMAN;sp|A4D1P6-2|WDR91_HUMAN;sp|A4D1P6-3|WDR91_HUMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A5YKK6-2|CNOT1_HUMAN;sp|A5YKK6|CNOT1_HUMAN;sp|A5YKK6-3|CNOT1_HUMAN;sp|A5YKK6-4|CNOT1_HUMAN,1138200,1473500,933000,1149800,NA,793160,3155300,906660,1292000,1225600,941460,1372000,880520,1627200,1526800,1610700,1046900,733010,NA,NA,1378700,1453600,NA,NA,1399000,NA,1456700
